time, frame, gpu, width, height, FPS, core_temp, core_load, gpu_power, core_clock, mem_clock
1.002, 130, GeForce RTX 2070, 1920, 1080, 130, 44.0, 21.0, 99.7, 1695.0, 7000.0
2.006, 264, GeForce RTX 2070, 1920, 1080, 134, 46.0, 94.0, 99.3, 1695.0, 7000.0
3.009, 398, GeForce RTX 2070, 1920, 1080, 134, 46.0, 98.0, 99.6, 1680.0, 7000.0
4.015, 530, GeForce RTX 2070, 1920, 1080, 132, 47.0, 98.0, 100.9, 1695.0, 7000.0
5.022, 663, GeForce RTX 2070, 1920, 1080, 133, 47.0, 98.0, 100.2, 1695.0, 7000.0
6.026, 795, GeForce RTX 2070, 1920, 1080, 132, 47.0, 98.0, 98.9, 1680.0, 7000.0
7.026, 925, GeForce RTX 2070, 1920, 1080, 130, 48.0, 97.0, 100.5, 1680.0, 7000.0
8.030, 1058, GeForce RTX 2070, 1920, 1080, 133, 49.0, 98.0, 98.9, 1680.0, 7000.0
9.032, 1192, GeForce RTX 2070, 1920, 1080, 134, 49.0, 98.0, 98.9, 1680.0, 7000.0
10.037, 1322, GeForce RTX 2070, 1920, 1080, 130, 49.0, 98.0, 100.3, 1650.0, 7000.0
11.043, 1452, GeForce RTX 2070, 1920, 1080, 130, 49.0, 98.0, 99.6, 1680.0, 7000.0
12.048, 1585, GeForce RTX 2070, 1920, 1080, 133, 50.0, 98.0, 98.5, 1680.0, 7000.0
13.053, 1713, GeForce RTX 2070, 1920, 1080, 128, 50.0, 98.0, 96.9, 1695.0, 7000.0
14.060, 1847, GeForce RTX 2070, 1920, 1080, 134, 51.0, 98.0, 98.2, 1680.0, 7000.0
15.064, 1981, GeForce RTX 2070, 1920, 1080, 134, 51.0, 98.0, 99.7, 1650.0, 7000.0
16.068, 2112, GeForce RTX 2070, 1920, 1080, 131, 51.0, 98.0, 101.5, 1665.0, 7000.0
17.072, 2244, GeForce RTX 2070, 1920, 1080, 132, 52.0, 98.0, 100.2, 1665.0, 7000.0
18.076, 2377, GeForce RTX 2070, 1920, 1080, 133, 52.0, 98.0, 100.2, 1665.0, 7000.0
19.080, 2508, GeForce RTX 2070, 1920, 1080, 131, 52.0, 98.0, 99.2, 1680.0, 7000.0
20.084, 2640, GeForce RTX 2070, 1920, 1080, 132, 53.0, 98.0, 97.6, 1680.0, 7000.0
21.085, 2771, GeForce RTX 2070, 1920, 1080, 131, 53.0, 98.0, 97.4, 1680.0, 7000.0
22.087, 2902, GeForce RTX 2070, 1920, 1080, 131, 53.0, 98.0, 100.9, 1650.0, 7000.0
