time, frame, gpu, width, height, FPS, core_temp, core_load, gpu_power, core_clock, mem_clock
1.001, 298, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 298, 46.0, 11.0, 98.3, 1560.5, 7000.5
2.001, 598, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 300, 47.0, 78.0, 99.9, 1575.5, 7000.5
3.004, 893, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 295, 48.0, 100.0, 103.8, 1545.5, 7000.5
4.005, 1189, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 296, 48.0, 100.0, 102.3, 1560.5, 7000.5
5.008, 1508, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 319, 49.0, 100.0, 105.5, 1530.5, 7000.5
6.008, 1831, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 323, 49.0, 100.0, 80.9, 1515.5, 7000.5
7.010, 2152, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 321, 49.0, 100.0, 95.2, 1545.5, 7000.5
8.012, 2469, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 317, 50.0, 100.0, 97.5, 1530.5, 7000.5
9.012, 2776, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 307, 50.0, 100.0, 102.4, 1560.5, 7000.5
10.013, 3092, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 316, 50.0, 100.0, 95.6, 1530.5, 7000.5
11.013, 3407, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 315, 50.0, 100.0, 99.8, 1545.5, 7000.5
12.015, 3731, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 324, 51.0, 100.0, 105.5, 1500.5, 7000.5
13.016, 4053, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 322, 51.0, 100.0, 98.1, 1515.5, 7000.5
14.019, 4376, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 323, 51.0, 100.0, 102.5, 1530.5, 7000.5
15.020, 4696, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 320, 51.0, 100.0, 99.4, 1515.5, 7000.5
16.021, 5010, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 314, 52.0, 100.0, 102.9, 1530.5, 7000.5
17.024, 5325, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 315, 52.0, 100.0, 100.0, 1515.5, 7000.5
18.026, 5648, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 323, 52.0, 100.0, 98.5, 1530.5, 7000.5
19.028, 5969, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 321, 52.0, 100.0, 101.9, 1515.5, 7000.5
20.029, 6290, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 321, 53.0, 100.0, 109.4, 1575.5, 7000.5
21.033, 6610, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 320, 53.0, 100.0, 99.0, 1530.5, 7000.5
22.034, 6924, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 314, 53.0, 100.0, 99.0, 1530.5, 7000.5
23.037, 7235, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 311, 53.0, 100.0, 100.2, 1515.5, 7000.5
24.038, 7547, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 312, 53.0, 100.0, 92.4, 1515.5, 7000.5
25.040, 7862, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 315, 53.0, 100.0, 92.7, 1560.5, 7000.5
26.041, 8180, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 318, 54.0, 100.0, 97.4, 1545.5, 7000.5
27.042, 8501, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 321, 54.0, 100.0, 95.9, 1515.5, 7000.5
28.042, 8815, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 314, 54.0, 100.0, 99.8, 1530.5, 7000.5
29.043, 9127, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 312, 54.0, 100.0, 98.5, 1530.5, 7000.5
30.043, 9440, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 313, 54.0, 100.0, 95.9, 1530.5, 7000.5
31.044, 9751, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 311, 55.0, 100.0, 97.3, 1545.5, 7000.5
32.047, 10067, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 316, 55.0, 100.0, 107.9, 1560.5, 7000.5
33.048, 10385, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 318, 55.0, 100.0, 95.2, 1530.5, 7000.5
34.050, 10692, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 307, 55.0, 100.0, 99.1, 1545.5, 7000.5
35.050, 11001, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 309, 55.0, 100.0, 97.1, 1545.5, 7000.5
36.050, 11315, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 314, 56.0, 100.0, 94.0, 1530.5, 7000.5
37.052, 11636, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 321, 56.0, 100.0, 92.0, 1500.5, 7000.5
38.054, 11955, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 319, 56.0, 100.0, 104.9, 1500.5, 7000.5
39.054, 12276, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 321, 56.0, 100.0, 98.9, 1530.5, 7000.5
40.057, 12580, NVIDIA GeForce RTX 2080 Ti, 1920, 1080, 304, 56.0, 100.0, 102.2, 1560.5, 7000.5
